counts,shots,job_id
"{'1': 543, '0': 481}",1024,263
"{'1': 505, '0': 519}",1024,264
"{'0': 522, '1': 502}",1024,265
"{'1': 518, '0': 506}",1024,266
"{'0': 509, '1': 515}",1024,267
"{'1': 507, '0': 517}",1024,268
"{'0': 519, '1': 505}",1024,269
"{'0': 521, '1': 503}",1024,270
"{'1': 509, '0': 515}",1024,271
"{'1': 514, '0': 510}",1024,272
"{'0': 517, '1': 507}",1024,273
"{'1': 497, '0': 527}",1024,274
"{'0': 532, '1': 492}",1024,275
"{'1': 514, '0': 510}",1024,276
"{'0': 528, '1': 496}",1024,277
"{'1': 505, '0': 519}",1024,278
"{'0': 516, '1': 508}",1024,279
"{'0': 516, '1': 508}",1024,280
"{'0': 505, '1': 519}",1024,281
"{'1': 519, '0': 505}",1024,282
"{'0': 482, '1': 542}",1024,283
"{'0': 519, '1': 505}",1024,284
"{'0': 498, '1': 526}",1024,285
"{'0': 509, '1': 515}",1024,286
"{'1': 510, '0': 514}",1024,287
"{'0': 514, '1': 510}",1024,288
"{'0': 517, '1': 507}",1024,289
"{'0': 526, '1': 498}",1024,290
"{'0': 515, '1': 509}",1024,291
"{'0': 484, '1': 540}",1024,292
"{'0': 492, '1': 532}",1024,293
"{'0': 518, '1': 506}",1024,294
"{'1': 535, '0': 489}",1024,295
"{'1': 530, '0': 494}",1024,296
"{'0': 509, '1': 515}",1024,297
"{'0': 534, '1': 490}",1024,298
"{'0': 529, '1': 495}",1024,299
"{'0': 484, '1': 540}",1024,300
"{'1': 511, '0': 513}",1024,301
"{'0': 491, '1': 533}",1024,302
"{'0': 513, '1': 511}",1024,303
"{'0': 528, '1': 496}",1024,304
"{'0': 537, '1': 487}",1024,305
"{'1': 508, '0': 516}",1024,306
"{'1': 523, '0': 501}",1024,307
"{'0': 491, '1': 533}",1024,308
"{'0': 530, '1': 494}",1024,309
"{'1': 496, '0': 528}",1024,310
"{'0': 509, '1': 515}",1024,311
"{'1': 530, '0': 494}",1024,312
"{'0': 497, '1': 527}",1024,313
"{'1': 507, '0': 517}",1024,314
"{'0': 515, '1': 509}",1024,315
"{'0': 508, '1': 516}",1024,316
"{'1': 507, '0': 517}",1024,317
"{'0': 510, '1': 514}",1024,318
"{'0': 533, '1': 491}",1024,319
"{'0': 495, '1': 529}",1024,320
"{'1': 514, '0': 510}",1024,321
"{'0': 508, '1': 516}",1024,322
"{'1': 497, '0': 527}",1024,323
"{'1': 544, '0': 480}",1024,324
"{'1': 505, '0': 519}",1024,325
"{'0': 498, '1': 526}",1024,326
"{'0': 519, '1': 505}",1024,327
"{'1': 522, '0': 502}",1024,328
"{'0': 468, '1': 556}",1024,329
"{'0': 498, '1': 526}",1024,330
"{'1': 502, '0': 522}",1024,331
"{'0': 519, '1': 505}",1024,332
"{'0': 509, '1': 515}",1024,333
"{'1': 514, '0': 510}",1024,334
"{'1': 498, '0': 526}",1024,335
"{'0': 525, '1': 499}",1024,336
"{'0': 490, '1': 534}",1024,337
"{'1': 490, '0': 534}",1024,338
"{'0': 514, '1': 510}",1024,339
"{'1': 490, '0': 534}",1024,340
"{'1': 515, '0': 509}",1024,341
"{'1': 539, '0': 485}",1024,342
"{'0': 519, '1': 505}",1024,343
"{'1': 510, '0': 514}",1024,344
"{'0': 487, '1': 537}",1024,345
"{'1': 518, '0': 506}",1024,346
"{'0': 533, '1': 491}",1024,347
"{'0': 487, '1': 537}",1024,348
"{'0': 500, '1': 524}",1024,349
